text,true_label,predicted_label,confidence
"the man from elysian fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves . ",0,1,0.9105536937713623
american chai encourages rueful laughter at stereotypes only an indian-american would recognize . ,0,1,0.9543914198875427
one from the heart . ,1,0,0.6018841862678528
a working class `` us vs. them '' opera that leaves no heartstring untugged and no liberal cause unplundered . ,1,0,0.8191313147544861
"movie fans , get ready to take off ... the other direction . ",0,1,0.6030990481376648
"very special effects , brilliantly bold colors and heightened reality ca n't hide the giant achilles ' heel in `` stuart little 2 `` : there 's just no story , folks . ",0,1,0.900305449962616
"when the film ended , i felt tired and drained and wanted to lie on my own deathbed for a while . ",0,1,0.656930148601532
"it 's somewhat clumsy and too lethargically paced -- but its story about a mysterious creature with psychic abilities offers a solid build-up , a terrific climax , and some nice chills along the way . ",0,1,0.907533586025238
"for all its technical virtuosity , the film is so mired in juvenile and near-xenophobic pedagogy that it 's enough to make one pine for the day when godard can no longer handle the rigors of filmmaking . ",0,1,0.8930362462997437
"this film seems thirsty for reflection , itself taking on adolescent qualities . ",0,1,0.6569458246231079
the affectionate loopiness that once seemed congenital to demme 's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled hollywood post-production effects . ,0,1,0.9929783940315247
"the movie is dawn of the dead crossed with john carpenter 's ghosts of mars , with zombies not as ghoulish as the first and trains not as big as the second . ",0,1,0.7840200662612915
it wants to tweak them with a taste of tangy new humor . ,1,0,0.9811433553695679
"the movie , directed by mick jackson , leaves no cliche unturned , from the predictable plot to the characters straight out of central casting . ",0,1,0.9959355592727661
teen movies have really hit the skids . ,0,1,0.721112072467804
manages to show life in all of its banality when the intention is quite the opposite . ,0,1,0.9345915913581848
"despite the evocative aesthetics evincing the hollow state of modern love life , the film never percolates beyond a monotonous whine . ",0,1,0.8911787867546082
"an absurdist comedy about alienation , separation and loss . ",0,1,0.9934446811676025
"... mafia , rap stars and hood rats butt their ugly heads in a regurgitation of cinematic violence that gives brutal birth to an unlikely , but likable , hero . ' ",1,0,0.8479437232017517
"( serry ) wants to blend politics and drama , an admirable ambition . ",1,0,0.5308065414428711
"for all the writhing and wailing , tears , rage and opium overdoses , there 's no sense of actual passion being washed away in love 's dissolution . ",0,1,0.887731671333313
"it 's inoffensive , cheerful , built to inspire the young people , set to an unending soundtrack of beach party pop numbers and aside from its remarkable camerawork and awesome scenery , it 's about as exciting as a sunburn . ",0,1,0.9433405995368958
"mcconaughey 's fun to watch , the dragons are okay , not much fire in the script . ",1,0,0.8160475492477417
has all the depth of a wading pool . ,0,1,0.5207825899124146
